AAZ|AAZ|||Ambriz|Ambriz|Ангола|Ангола|Angola|Angola
ABA|ABA|Абакан|Абакан|Abakan|Abakan|Россия|Россия|Russian Federation|Russian Federation
ABB|ABB|Абингдон|Абингдон|Abingdon|Abingdon|Великобритания|Великобритания|United Kingdom|United Kingdom
ABC|ABC|Албасет|Албасет|Albacete|Albacete|Испания|Испания|Spain|Spain
ABD|ABD|Абадан|Абадан|Abadan|Abadan|Иран|Иран|Iran|Iran
ABF|ABF|Абайянг|Абайянг|Abaiang|Abaiang|Кирибати|Кирибати|Kiribati|Kiribati
ABG|ABG|Абингдон|Абингдон|Abingdon|Abingdon|Австралия|Австралия|Australia|Australia
ABH|ABH|||Alpha|Alpha|Австралия|Австралия|Australia|Australia
ABI|ABI|||Abilene|Abilene|США|США|United States|United States
ABJ|ABJ|Абиджан|Абиджан|Abidjan|Abidjan|Кот д&#039;Ивуар|Кот д&#039;Ивуар|Cote D&#039;Ivoire|Cote D&#039;Ivoire
ABK|ABK|Кабри-Дар|Кабри-Дар|Kabri Dar|Kabri Dar|Эфиопия|Эфиопия|Ethiopia|Ethiopia
ABL|ABL|||Ambler|Ambler|США|США|United States|United States
ABM|ABM|||Bamaga, Queensland|Bamaga, Queensland|Австралия|Австралия|Australia|Australia
ABN|ABN|Альбина|Альбина|Albina|Albina|Суринам|Суринам|Suriname|Suriname
ABO|ABO|||Aboisso|Aboisso|Кот д&#039;Ивуар|Кот д&#039;Ивуар|Cote D&#039;Ivoire|Cote D&#039;Ivoire
ABP|ABP|Аткамба|Аткамба|Atkamba|Atkamba|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
ABQ|ABQ|Альбукерк|Альбукерк|Albuquerque|Albuquerque|США|США|United States|United States
ABR|ABR|||Aberdeen|Aberdeen|США|США|United States|United States
ABS|ABS|Абу-Симбель|Абу-Симбель|Abu Simbel|Abu Simbel|Египет|Египет|Egypt|Egypt
ABT|ABT|||Al-Baha|Al-Baha|Саудовская Аравия|Саудовская Аравия|Saudi Arabia|Saudi Arabia
ABU|ABU|||Atambua|Atambua|Индонезия|Индонезия|Indonesia|Indonesia
ABV|ABV|Абуджа|Абуджа|Abuja|Abuja|Нигерия|Нигерия|Nigeria|Nigeria
ABW|ABW|Абау|Абау|Abau|Abau|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
ABX|ABX|Элбери|Элбери|Albury|Albury|Австралия|Австралия|Australia|Australia
ABY|ABY|Олбани|Олбани|Albany|Albany|США|США|United States|United States
ABZ|ABZ|||Aberdeen|Aberdeen|Великобритания|Великобритания|United Kingdom|United Kingdom
ACB|ACB|||Bellaire|Bellaire|США|США|United States|United States
ACC|ACC|||Accra|Accra|Гана|Гана|Ghana|Ghana
ACD|ACD|Аканди|Аканди|Acandi|Acandi|Колумбия|Колумбия|Colombia|Colombia
ACE|ACE|Арресиф|Арресиф|Arrecife|Arrecife|Испания|Испания|Spain|Spain
ACH|ACH|||Altenrhein|Altenrhein|Швейцария|Швейцария|Switzerland|Switzerland
ACI|ACI|Элдерни|Элдерни|Alderney|Alderney|Великобритания|Великобритания|United Kingdom|United Kingdom
ACJ|ACJ|Анурадхапура|Анурадхапура|Anuradhapura|Anuradhapura|Шри-Ланка|Шри-Ланка|Sri Lanka|Sri Lanka
ACK|ACK|||Nantucket|Nantucket|США|США|United States|United States
ACL|ACL|||Aguaclara|Aguaclara|Колумбия|Колумбия|Colombia|Colombia
ACM|ACM|Арика|Арика|Arica|Arica|Колумбия|Колумбия|Colombia|Colombia
ACN|ACN|Сиудад-Акуна|Сиудад-Акуна|Ciudad Acuna|Ciudad Acuna|Мексика|Мексика|Mexico|Mexico
ACO|ACO|Аскона|Аскона|Ascona|Ascona|Швейцария|Швейцария|Switzerland|Switzerland
ACP|ACP|||Sahand|Sahand|Иран|Иран|Iran|Iran
ACR|ACR|Араракуара|Араракуара|Araracuara|Araracuara|Колумбия|Колумбия|Colombia|Colombia
ACS|ACS|Ачинск|Ачинск|Achinsk|Achinsk|Россия|Россия|Russian Federation|Russian Federation
ACT|ACT|Вако|Вако|Waco|Waco|США|США|United States|United States
ACU|ACU|Ахутупо|Ахутупо|Achutupo|Achutupo|Панама|Панама|Panama|Panama
ACV|ACV|||Arcata|Arcata|США|США|United States|United States
ACX|ACX|||Xingyi|Xingyi|Китай|Китай|China|China
ACY|ACY|Атлантик Сити|Атлантик Сити|Atlantic City|Atlantic City|США|США|United States|United States
ACZ|ACZ|Забол|Забол|Zabol|Zabol|Иран|Иран|Iran|Iran
ADA|ADA|Адана|Адана|Adana|Adana|Турция|Турция|Turkey|Turkey
ADB|ADB|Измир|Измир|Izmir|Izmir|Турция|Турция|Turkey|Turkey
ADC|ADC|||Andakombe|Andakombe|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
ADD|ADD|Аддис Абеба|Аддис Абеба|Addis Ababa|Addis Ababa|Эфиопия|Эфиопия|Ethiopia|Ethiopia
ADE|ADE|Аден|Аден|Aden|Aden|Йемен|Йемен|Yemen|Yemen
ADF|ADF|||Adiyaman|Adiyaman|Турция|Турция|Turkey|Turkey
ADG|ADG|||Adrian|Adrian|США|США|United States|United States
ADH|ADH|Алдан|Алдан|Aldan|Aldan|Россия|Россия|Russian Federation|Russian Federation
ADI|ADI|||Arandis|Arandis|Намибия|Намибия|Namibia|Namibia
ADJ|ADJ|Амман|Амман|Amman|Amman|Иордания|Иордания|Jordan|Jordan
ADK|ADK|||Adak Island|Adak Island|США|США|United States|United States
ADL|ADL|Аделаида|Аделаида|Adelaide|Adelaide|Австралия|Австралия|Australia|Australia
ADM|ADM|Ардмор|Ардмор|Ardmore|Ardmore|США|США|United States|United States
ADN|ADN|Андес|Андес|Andes|Andes|Колумбия|Колумбия|Colombia|Colombia
ADO|ADO|||Andamooka|Andamooka|Австралия|Австралия|Australia|Australia
ADP|ADP|||Ampara|Ampara|Шри-Ланка|Шри-Ланка|Sri Lanka|Sri Lanka
ADQ|ADQ|||Kodiak|Kodiak|США|США|United States|United States
ADR|ADR|||Andrews|Andrews|США|США|United States|United States
ADS|ADS|Даллас|Даллас|Dallas|Dallas|США|США|United States|United States
ADT|ADT|Ада|Ада|Ada|Ada|США|США|United States|United States
ADU|ADU|||Ardabil|Ardabil|Иран|Иран|Iran|Iran
ADV|ADV|Эндовер|Эндовер|Andover|Andover|Великобритания|Великобритания|United Kingdom|United Kingdom
ADW|ADW|||Camp Springs|Camp Springs|США|США|United States|United States
ADX|ADX|||St Andrews|St Andrews|Великобритания|Великобритания|United Kingdom|United Kingdom
ADY|ADY|Оллдейз|Оллдейз|Alldays|Alldays|ЮАР|ЮАР|South Africa|South Africa
ADZ|ADZ|Остров Сан Андрес|Остров Сан Андрес|San Andres Island|San Andres Island|Колумбия|Колумбия|Colombia|Colombia
AEA|AEA|Абемама-Атолл|Абемама-Атолл|Abemama Atoll|Abemama Atoll|Кирибати|Кирибати|Kiribati|Kiribati
AED|AED|||Aleneva|Aleneva|США|США|United States|United States
AEG|AEG|Эк-Годан|Эк-Годан|Aek Godang|Aek Godang|Индонезия|Индонезия|Indonesia|Indonesia
AEH|AEH|||Abecher|Abecher|Чад|Чад|Chad|Chad
AEI|AEI|Альгесирас|Альгесирас|Algeciras|Algeciras|Испания|Испания|Spain|Spain
AEK|AEK|Асеки|Асеки|Aseki|Aseki|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AEL|AEL|Альберт Ли|Альберт Ли|Albert Lea|Albert Lea|США|США|United States|United States
AEO|AEO|||Aioun El Atrouss|Aioun El Atrouss|Мавритания|Мавритания|Mauritania|Mauritania
AEP|AEP|Буэнос-Айрес|Буэнос-Айрес|Buenos Aires|Buenos Aires|Аргентина|Аргентина|Argentina|Argentina
AER|AER|Адлер|Адлер|Adler|Adler|Россия|Россия|Russian Federation|Russian Federation
AES|AES|||Aalesund|Aalesund|Норвегия|Норвегия|Norway|Norway
AET|AET|||Allakaket|Allakaket|США|США|United States|United States
AEU|AEU|||Abu Musa|Abu Musa|Иран|Иран|Iran|Iran
AEX|AEX|||Alexandria, LA|Alexandria, LA|США|США|United States|United States
AEY|AEY|Акурейри|Акурейри|Akureyri|Akureyri|Исландия|Исландия|Iceland|Iceland
AFA|AFA|Сан-Рафаэль|Сан-Рафаэль|San Rafael|San Rafael|Аргентина|Аргентина|Argentina|Argentina
AFD|AFD|Порт Альфред|Порт Альфред|Port Alfred|Port Alfred|ЮАР|ЮАР|South Africa|South Africa
AFF|AFF|Колорадо Спрингз|Колорадо Спрингз|Colorado Springs|Colorado Springs|США|США|United States|United States
AFI|AFI|Амалфи|Амалфи|Amalfi|Amalfi|Колумбия|Колумбия|Colombia|Colombia
AFK|AFK|||Ampara|Ampara|Шри-Ланка|Шри-Ланка|Sri Lanka|Sri Lanka
AFL|AFL|Алта-Флореста|Алта-Флореста|Alta Floresta|Alta Floresta|Бразилия|Бразилия|Brazil|Brazil
AFN|AFN|||Jaffrey|Jaffrey|США|США|United States|United States
AFO|AFO|Афтон|Афтон|Afton|Afton|США|США|United States|United States
AFR|AFR|Афоре|Афоре|Afore|Afore|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AFS|AFS|Зарафшан|Зарафшан|Zarafshan|Zarafshan|Узбекистан|Узбекистан|Uzbekistan|Uzbekistan
AFT|AFT|Афутара|Афутара|Afutara|Afutara|Соломоновы острова|Соломоновы острова|Solomon Islands|Solomon Islands
AFW|AFW|||Fort Worth, TX|Fort Worth, TX|США|США|United States|United States
AFY|AFY|Афион|Афион|Afyon|Afyon|Турция|Турция|Turkey|Turkey
AFZ|AFZ|||Sabzevar|Sabzevar|Иран|Иран|Iran|Iran
AGA|AGA|Агадир|Агадир|Agadir|Agadir|Марокко|Марокко|Morocco|Morocco
AGB|AGB|Мюнхен|Мюнхен|Munich|Munich|Германия|Германия|Germany|Germany
AGC|AGC|Питтсборо|Питтсборо|Pittsburgh|Pittsburgh|США|США|United States|United States
AGD|AGD|Ангги|Ангги|Anggi|Anggi|Индонезия|Индонезия|Indonesia|Indonesia
AGE|AGE|Вангерооге|Вангерооге|Wangerooge|Wangerooge|Германия|Германия|Germany|Germany
AGF|AGF|Аген|Аген|Agen|Agen|Франция|Франция|France|France
AGG|AGG|Ангорам|Ангорам|Angoram|Angoram|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AGH|AGH|||Angelholm/Helsingborg|Angelholm/Helsingborg|Швеция|Швеция|Sweden|Sweden
AGI|AGI|Вагенинген|Вагенинген|Wageningen|Wageningen|Суринам|Суринам|Suriname|Suriname
AGJ|AGJ|Агуни|Агуни|Aguni|Aguni|Япония|Япония|Japan|Japan
AGK|AGK|Кагуа|Кагуа|Kagua|Kagua|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AGL|AGL|Ванигела|Ванигела|Wanigela|Wanigela|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AGM|AGM|||Tasiilaq|Tasiilaq|Гренландия|Гренландия|Greenland|Greenland
AGN|AGN|||Angoon|Angoon|США|США|United States|United States
AGO|AGO|||Magnolia|Magnolia|США|США|United States|United States
AGP|AGP|Малага|Малага|Malaga|Malaga|Испания|Испания|Spain|Spain
AGQ|AGQ|Агринио|Агринио|Agrinion|Agrinion|Греция|Греция|Greece|Greece
AGR|AGR|Агра|Агра|Agra|Agra|Индия|Индия|India|India
AGS|AGS|||Augusta|Augusta|США|США|United States|United States
AGT|AGT|Кудад-дель-Эсте|Кудад-дель-Эсте|Ciudad Del Este|Ciudad Del Este|Парагвай|Парагвай|Paraguay|Paraguay
AGU|AGU|Агуаскалиентес|Агуаскалиентес|Aguascalientes|Aguascalientes|Мексика|Мексика|Mexico|Mexico
AGV|AGV|Акарикуа|Акарикуа|Acarigua|Acarigua|Венесуэла|Венесуэла|Venezuela|Venezuela
AGW|AGW|||Agnew|Agnew|Австралия|Австралия|Australia|Australia
AGX|AGX|Агатти-Айленд|Агатти-Айленд|Agatti Island|Agatti Island|Индия|Индия|India|India
AGY|AGY|||Argyle Downs|Argyle Downs|Австралия|Австралия|Australia|Australia
AGZ|AGZ|Аггенейз|Аггенейз|Aggeneys|Aggeneys|ЮАР|ЮАР|South Africa|South Africa
AHA|AHA|Окинава|Окинава|Okinawa|Okinawa|Япония|Япония|Japan|Japan
AHB|AHB|Абха|Абха|Abha|Abha|Саудовская Аравия|Саудовская Аравия|Saudi Arabia|Saudi Arabia
AHC|AHC|||Herlong|Herlong|Норвегия|Норвегия|Norway|Norway
AHD|AHD|Ардмор|Ардмор|Ardmore|Ardmore|США|США|United States|United States
AHE|AHE|||Ahe|Ahe|Французская Полинезия|Французская Полинезия|French Polynesia|French Polynesia
AHF|AHF|||Arapahoe|Arapahoe|Гватемала|Гватемала|Guatemala|Guatemala
AHH|AHH|||Amery|Amery|США|США|United States|United States
AHI|AHI|Амахаи|Амахаи|Amahai|Amahai|Индонезия|Индонезия|Indonesia|Indonesia
AHL|AHL|Аисхалтон|Аисхалтон|Aishalton|Aishalton|Гайана|Гайана|Guyana|Guyana
AHN|AHN|Афины|Афины|Athens|Athens|Греция|Греция|Greece|Greece
AHO|AHO|||Alghero|Alghero|Италия|Италия|Italy|Italy
AHS|AHS|Ахуас|Ахуас|Ahuas|Ahuas|Гондурас|Гондурас|Honduras|Honduras
AHT|AHT|Ам-Тиман|Ам-Тиман|Amchitka|Amchitka|США|США|United States|United States
AHU|AHU|||Al Hoceima|Al Hoceima|Марокко|Марокко|Morocco|Morocco
AHY|AHY|Амбатолахи|Амбатолахи|Ambatolahy|Ambatolahy|Мадагаскар|Мадагаскар|Madagascar|Madagascar
AHZ|AHZ|||Alpe D Huez|Alpe D Huez|Франция|Франция|France|France
AIA|AIA|||Alliance|Alliance|США|США|United States|United States
AIB|AIB|||Anita Bay|Anita Bay|США|США|United States|United States
AIC|AIC|||Airok, Ailinglaplap|Airok, Ailinglaplap|Маршалловы острова|Маршалловы острова|Marshall Islands|Marshall Islands
AID|AID|||Anderson|Anderson|США|США|United States|United States
AIE|AIE|Айоме|Айоме|Aiome|Aiome|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AIF|AIF|||Assis|Assis|Бразилия|Бразилия|Brazil|Brazil
AIG|AIG|Ялинга|Ялинга|Yalinga|Yalinga|Центральноафриканская Республика|Центральноафриканская Республика|Central African Republic|Central African Republic
AIH|AIH|||Aiambak|Aiambak|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AII|AII|||Alisabieh|Alisabieh|Джибути|Джибути|Djibouti|Djibouti
AIK|AIK|||Aiken|Aiken|США|США|United States|United States
AIL|AIL|Айлиганди|Айлиганди|Ailigandi|Ailigandi|Панама|Панама|Panama|Panama
AIM|AIM|||Ailuk Island|Ailuk Island|Маршалловы острова|Маршалловы острова|Marshall Islands|Marshall Islands
AIN|AIN|||Wainwright|Wainwright|США|США|United States|United States
AIO|AIO|||Atlantic|Atlantic|США|США|United States|United States
AIP|AIP|||Ailinglapalap Island|Ailinglapalap Island|Маршалловы острова|Маршалловы острова|Marshall Islands|Marshall Islands
AIR|AIR|||Aripuana|Aripuana|Бразилия|Бразилия|Brazil|Brazil
AIS|AIS|Ароре-Айленд|Ароре-Айленд|Arorae Island|Arorae Island|Кирибати|Кирибати|Kiribati|Kiribati
AIT|AIT|Аитутаки|Аитутаки|Aitutaki|Aitutaki|Острова Кука|Острова Кука|Cook Islands|Cook Islands
AIU|AIU|||Atiu Island|Atiu Island|Острова Кука|Острова Кука|Cook Islands|Cook Islands
AIV|AIV|||Aliceville|Aliceville|США|США|United States|United States
AIW|AIW|||Ai-ais|Ai-ais|Намибия|Намибия|Namibia|Namibia
AIY|AIY|Атлантик Сити|Атлантик Сити|Atlantic City|Atlantic City|США|США|United States|United States
AIZ|AIZ|||Kaiser/Lake Ozark|Kaiser/Lake Ozark|США|США|United States|United States
AJA|AJA|Аяччио|Аяччио|Ajaccio|Ajaccio|Франция|Франция|France|France
AJF|AJF|||Sakaka Al Jouf|Sakaka Al Jouf|Саудовская Аравия|Саудовская Аравия|Saudi Arabia|Saudi Arabia
AJI|AJI|Агри|Агри|Agri|Agri|Италия|Италия|Italy|Italy
AJJ|AJJ|Акжужт|Акжужт|Akjoujt|Akjoujt|Мавритания|Мавритания|Mauritania|Mauritania
AJK|AJK|||Araak|Araak|Иран|Иран|Iran|Iran
AJL|AJL|Айзаул|Айзаул|Aizawl|Aizawl|Индия|Индия|India|India
AJN|AJN|Анжуан|Анжуан|Anjouan|Anjouan|Коморские острова|Коморские острова|Comoros|Comoros
AJO|AJO|Альюф|Альюф|Aljouf|Aljouf|Йемен|Йемен|Yemen|Yemen
AJR|AJR|Арвидсьяур|Арвидсьяур|Arvidsjaur|Arvidsjaur|Швеция|Швеция|Sweden|Sweden
AJS|AJS|Абреохос|Абреохос|Abreojos|Abreojos|Мексика|Мексика|Mexico|Mexico
AJU|AJU|Аракайю|Аракайю|Aracaju|Aracaju|Бразилия|Бразилия|Brazil|Brazil
AJY|AJY|||Agades|Agades|Нигер|Нигер|Niger|Niger
AKA|AKA|Анькан|Анькан|Ankang|Ankang|Китай|Китай|China|China
AKB|AKB|||Atka|Atka|США|США|United States|United States
AKC|AKC|||Akron/Canton|Akron/Canton|ЮАР|ЮАР|South Africa|South Africa
AKD|AKD|Акола|Акола|Akola|Akola|Индия|Индия|India|India
AKE|AKE|Акиени|Акиени|Akieni|Akieni|Габон|Габон|Gabon|Gabon
AKF|AKF|Куфра|Куфра|Kufrah|Kufrah|Ливия|Ливия|Libya|Libya
AKG|AKG|Ангуганак|Ангуганак|Anguganak|Anguganak|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AKH|AKH|||Al Kharj|Al Kharj|Саудовская Аравия|Саудовская Аравия|Saudi Arabia|Saudi Arabia
AKI|AKI|||Akiak|Akiak|США|США|United States|United States
AKJ|AKJ|Асахикава|Асахикава|Asahikawa|Asahikawa|Япония|Япония|Japan|Japan
AKK|AKK|||Akhiok|Akhiok|США|США|United States|United States
AKL|AKL|Окленд|Окленд|Auckland|Auckland|Новая Зеландия|Новая Зеландия|New Zealand|New Zealand
AKM|AKM|Закума|Закума|Zakouma|Zakouma|Чад|Чад|Chad|Chad
AKN|AKN|||King Salmon|King Salmon|США|США|United States|United States
AKO|AKO|Akron|Akron|Akron, CO|Akron, CO|США|США|United States|United States
AKP|AKP|||Anaktuvuk|Anaktuvuk|США|США|United States|United States
AKQ|AKQ|Астраксетра|Астраксетра|Astraksetra|Astraksetra|Индонезия|Индонезия|Indonesia|Indonesia
AKR|AKR|Акере|Акере|Akure|Akure|Нигерия|Нигерия|Nigeria|Nigeria
AKT|AKT|Акротири|Акротири|Akrotiri|Akrotiri|Кипр|Кипр|Cyprus|Cyprus
AKU|AKU|Аксу|Аксу|Aksu|Aksu|Китай|Китай|China|China
AKV|AKV|||Akulivik|Akulivik|Канада|Канада|Canada|Canada
AKW|AKW|||Aghajari|Aghajari|Иран|Иран|Iran|Iran
AKX|AKX|Актюбинск|Актюбинск|Aktyubinsk|Aktyubinsk|Казахстан|Казахстан|Kazakhstan|Kazakhstan
AKY|AKY|||Sittwe|Sittwe|Мьянма|Мьянма|Myanmar|Myanmar
ALA|ALA|Алматы|Алматы|Almaty|Almaty|Казахстан|Казахстан|Kazakhstan|Kazakhstan
ALB|ALB|Олбани|Олбани|Albany|Albany|США|США|United States|United States
ALC|ALC|Аликанте|Аликанте|Alicante|Alicante|Испания|Испания|Spain|Spain
ALD|ALD|Алерта|Алерта|Alerta|Alerta|Перу|Перу|Peru|Peru
ALE|ALE|||Alpine|Alpine|США|США|United States|United States
ALF|ALF|Алта|Алта|Alta|Alta|Норвегия|Норвегия|Norway|Norway
ALG|ALG|||Algiers|Algiers|Алжир|Алжир|Algeria|Algeria
ALH|ALH|Олбани|Олбани|Albany|Albany|Австралия|Австралия|Australia|Australia
ALI|ALI|||Alice|Alice|США|США|United States|United States
ALJ|ALJ|Александер-Бей|Александер-Бей|Alexander Bay|Alexander Bay|ЮАР|ЮАР|South Africa|South Africa
ALK|ALK|Асела|Асела|Asela|Asela|Эфиопия|Эфиопия|Ethiopia|Ethiopia
ALL|ALL|Албенга|Албенга|Albenga|Albenga|Италия|Италия|Italy|Italy
ALM|ALM|Аламогордо|Аламогордо|Alamogordo|Alamogordo|США|США|United States|United States
ALN|ALN|||Alton|Alton|США|США|United States|United States
ALO|ALO|Ватерло|Ватерло|Waterloo|Waterloo|США|США|United States|United States
ALP|ALP|Алеппо|Алеппо|Aleppo|Aleppo|Сирия|Сирия|Syria|Syria
ALQ|ALQ|||Alegrete|Alegrete|Бразилия|Бразилия|Brazil|Brazil
ALR|ALR|Александра|Александра|Alexandra|Alexandra|Новая Зеландия|Новая Зеландия|New Zealand|New Zealand
ALS|ALS|Аламоса|Аламоса|Alamosa|Alamosa|США|США|United States|United States
ALT|ALT|||Alenquer|Alenquer|Бразилия|Бразилия|Brazil|Brazil
ALU|ALU|Алула|Алула|Alula|Alula|Сомали|Сомали|Somalia|Somalia
ALV|ALV|Андорра-ла-Велла|Андорра-ла-Велла|Andorra La Vella|Andorra La Vella|Андорра|Андорра|Andorra|Andorra
ALW|ALW|||Walla Walla|Walla Walla|США|США|United States|United States
ALX|ALX|||Alexander City|Alexander City|США|США|United States|United States
ALY|ALY|Александрия|Александрия|Alexandria|Alexandria|Египет|Египет|Egypt|Egypt
ALZ|ALZ|||Alitak|Alitak|США|США|United States|United States
AMA|AMA|||Amarillo, TX|Amarillo, TX|США|США|United States|United States
AMB|AMB|Амбилобе|Амбилобе|Ambilobe|Ambilobe|Мадагаскар|Мадагаскар|Madagascar|Madagascar
AMC|AMC|||Am Timan|Am Timan|Чад|Чад|Chad|Chad
AMD|AMD|Ахмедабад|Ахмедабад|Ahmedabad|Ahmedabad|Индия|Индия|India|India
AME|AME|Альто-Молокуэ|Альто-Молокуэ|Alto Molocue|Alto Molocue|Мозамбик|Мозамбик|Mozambique|Mozambique
AMF|AMF|Ама|Ама|Ama|Ama|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AMG|AMG|||Amboin|Amboin|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AMH|AMH|Арба-Минч|Арба-Минч|Arba Mintch|Arba Mintch|Эфиопия|Эфиопия|Ethiopia|Ethiopia
AMI|AMI|||Mataram|Mataram|Индонезия|Индонезия|Indonesia|Indonesia
AMJ|AMJ|||Almenara|Almenara|Бразилия|Бразилия|Brazil|Brazil
AMK|AMK|Дуранго|Дуранго|Durango|Durango|США|США|United States|United States
AML|AML|||Puerto Armuellas|Puerto Armuellas|Панама|Панама|Panama|Panama
AMM|AMM|Амман|Амман|Amman|Amman|Иордания|Иордания|Jordan|Jordan
AMN|AMN|||Alma|Alma|США|США|United States|United States
AMO|AMO|Мао|Мао|Mao|Mao|Чад|Чад|Chad|Chad
AMP|AMP|Ампанихи|Ампанихи|Ampanihy|Ampanihy|Мадагаскар|Мадагаскар|Madagascar|Madagascar
AMQ|AMQ|Амбон|Амбон|Ambon|Ambon|Индонезия|Индонезия|Indonesia|Indonesia
AMR|AMR|Арно|Арно|Arno|Arno|Маршалловы острова|Маршалловы острова|Marshall Islands|Marshall Islands
AMS|AMS|Амстердам|Амстердам|Amsterdam|Amsterdam|Нидерланды|Нидерланды|Netherlands|Netherlands
AMT|AMT|||Amata|Amata|Австралия|Австралия|Australia|Australia
AMU|AMU|Аманаб|Аманаб|Amanab|Amanab|Папуа - Новая Гвинея|Папуа - Новая Гвинея|Papua New Guinea|Papua New Guinea
AMV|AMV|Амдерма|Амдерма|Amderma|Amderma|Россия|Россия|Russian Federation|Russian Federation
AMW|AMW|||Ames|Ames|США|США|United States|United States
AMX|AMX|||Ammaroo|Ammaroo|Австралия|Австралия|Australia|Australia
AMY|AMY|Амбатомаинти|Амбатомаинти|Ambatomainty|Ambatomainty|Мадагаскар|Мадагаскар|Madagascar|Madagascar
AMZ|AMZ|Ардмор|Ардмор|Ardmore|Ardmore|Новая Зеландия|Новая Зеландия|New Zealand|New Zealand
ANA|ANA|Анахайм|Анахайм|Anaheim|Anaheim|США|США|United States|United States
ANB|ANB|||Anniston|Anniston|США|США|United States|United States
ANC|ANC|Анкораж|Анкораж|Anchorage|Anchorage|США|США|United States|United States
AND|AND|||Anderson|Anderson|США|США|United States|United States
ANE|ANE|Анжер|Анжер|Angers|Angers|Франция|Франция|France|France
ANF|ANF|Антофагаста|Антофагаста|Antofagasta|Antofagasta|Чили|Чили|Chile|Chile
ANG|ANG|Ангулем|Ангулем|Angouleme|Angouleme|Франция|Франция|France|France
ANH|ANH|||Anuha Island Resort|Anuha Island Resort|Соломоновы острова|Соломоновы острова|Solomon Islands|Solomon Islands
ANI|ANI|||Aniak|Aniak|США|США|United States|United States
ANJ|ANJ|Занага|Занага|Zanaga|Zanaga|Конго|Конго|Congo|Congo
ANK|ANK|Анкара|Анкара|Ankara|Ankara|Турция|Турция|Turkey|Turkey
